PID,Category
BN7D,CASHBACK
80G0,AIRTIME_DATA
WLIW,AIRTIME_DATA
U1DD,MOBILE_MONEY
T0LZ,AIRTIME_DATA
6Q4Z,AIRTIME_DATA
5YR6,MOBILE_MONEY
P7R7,AIRTIME
Q9SJ,UTILITIES
DJGS,AIRTIME_DATA
3USE,ENTERTAINMENT
T2MU,OTHER
YEPH,ENTERTAINMENT
49DG,AIRTIME_DATA
0ZFO,UTILITIES
2F3O,ENTERTAINMENT
CPEH,AIRTIME_DATA
93AI,AIRTIME_DATA
5OH5,ENTERTAINMENT
AIT3,AIRTIME_DATA
ZDTG,OTHER
YDAG,OTHER
7IPS,OTHER
G1PD,MOBILE_MONEY
FXJ0,OTHER
HQ1F,UTILITIES
PNYC,MOBILE_MONEY
P4IQ,OTHER
UE6G,MOBILE_MONEY
8DYO,OTHER
AWYV,OTHER
NFDD,OTHER
B5DH,AIRTIME_DATA
XGSZ,OTHER
WZF8,AIRTIME_DATA
